,question_id,answers,paragraph_id
0,0,['Apple'],[1]
1,1,"['October 23, 2001']",[1]
2,2,['three'],[1]
3,3,['portable media players'],[1]
4,4,['touchscreen'],[1]
5,5,['Apple'],[1]
6,6,['data storage'],[2]
7,7,['2 GB'],[2]
8,8,['128 GB'],[2]
9,9,['iPod Shuffle'],[2]
10,10,['iPod Touch'],[2]
11,11,['2 GB'],[2]
12,12,['128 GB'],[2]
13,13,['iTunes'],[3]
14,14,['Apple Macintosh and Microsoft Windows'],[3]
15,15,['iTunes'],[3]
16,16,['one'],[4]
17,17,['2010'],[4]
18,18,['sixth'],[5]
19,19,['2015'],[5]
20,20,['2001'],[6]
21,21,['Jon Rubinstein'],[6]
22,22,['5 GB'],[6]
23,23,['2001'],[6]
24,24,['5 GB'],[6]
25,25,['the Walkman'],[6]
26,26,['Jon Rubinstein'],[6]
27,27,['Chicago'],[7]
28,28,['Helvetica'],[7]
29,29,['Steve Jobs'],[7]
30,30,['Helvetica'],[7]
31,31,['black'],[8]
32,32,['video'],[8]
33,33,['black'],[8]
34,34,['Kane Kramer'],[9]
35,35,['1981'],[9]
36,36,['IXI'],[9]
37,37,['Vinnie Chieco'],[10]
38,38,['freelance copywriter'],[10]
39,39,['2001: A Space Odyssey'],[10]
40,40,['Joseph N. Grasso'],[10]
41,41,['2005'],[10]
42,42,['2001: A Space Odyssey'],[10]
43,43,['Vinnie Chieco'],[10]
44,44,['12.2'],[11]
45,45,['12.2'],[11]
46,46,['bass'],[12]
47,47,['undersized DC-blocking capacitors'],[12]
48,48,['clipping'],[13]
49,49,['2006'],[13]
50,50,"['R&B, Rock, Acoustic, and Bass Booster']",[13]
51,51,['hearing loss'],[14]
52,52,['France'],[14]
53,53,['100 dB'],[14]
54,54,['FireWire'],[15]
55,55,['FireWire'],[15]
56,56,['third generation'],[16]
57,57,['30-pin dock connector'],[16]
58,58,['fifth'],[16]
59,59,['fourth'],[16]
60,60,['third generation'],[16]
61,61,['Shuffle'],[16]
62,62,['FireWire'],[16]
63,63,['USB'],[16]
64,64,['Belkin and Griffin'],[17]
65,65,['dock connector'],[17]
66,66,['paying royalties'],[17]
67,67,['seventh generation iPod Nano'],[18]
68,68,['both sides'],[18]
69,69,['Lightning'],[18]
70,70,['fifth generation'],[18]
71,71,['Nike+iPod pedometer'],[19]
72,72,['Nike'],[19]
73,73,['BMW'],[20]
74,74,['2005'],[20]
75,75,"['JVC, Pioneer, Kenwood, Alpine, Sony, and Harman Kardon']",[21]
76,76,['audio input jacks'],[21]
77,77,['FM transmitters'],[21]
