question_id,paragraph_id,answers
0,[0],['1922']
1,[0],['practical']
2,[1],['elocution and speech']
3,[1],['deaf']
4,[1],['telephone']
5,[2],['National Geographic Society']
6,[2],['hydrofoils']
7,[2],['1898']
8,[3],['stone']
9,[3],['10']
10,[3],['Aleck']
11,[4],['botanical specimens']
12,[4],['flour']
13,[4],['rotating paddles']
14,[4],['small workshop']
15,[5],['music']
16,[5],['piano']
17,[5],['12']
18,[5],['forehead']
19,[5],['acoustics']
20,[6],['Dublin']
21,[6],['The Standard Elocutionist']
22,[6],['pronunciation']
23,[7],['father']
24,[8],['1863']
25,[8],['human voice']
26,[8],['Melville']
27,[8],['skull']
28,[9],['Skye Terrier']
29,[9],['Trouve']
30,[9],['How are you grandma?']
31,[9],['growl continuously']
32,[10],['Alexander Ellis']
33,[10],['Germany']
34,[10],['Hermann von Helmholtz']
35,[10],['19']
36,[11],['electrical']
37,[11],['consonants']
38,[11],['German']
39,[11],['electricity']
40,[12],['1865']
41,[12],['Weston House']
42,[12],['Somerset College']
43,[12],['A.G. Bell']
44,[12],['1867']
45,[13],['South Kensington']
46,[13],['deaf']
47,[13],['Melville']
48,[13],['Newfoundland']
49,[13],['lisp']
50,[14],['23']
51,[14],['SS Nestorian']
52,[14],['Paris']
53,[14],['10.5']
54,[15],['Mohawk']
55,[16],['melodeon']
56,[16],['pump organ']
57,[16],['1871']
58,[16],['father']
59,[17],['Sarah Fuller']
60,[17],['the public Horace Mann School for the Deaf']
61,[17],['April']
62,[17],['instructors']
63,[17],['Hartford']
64,[18],['pitch']
65,[18],['Brantford']
66,[19],['Boston']
67,[19],['1872']
68,[19],['30']
69,[20],['tied behind their backs']
70,[20],['signing']
71,[21],['Boston University School of Oratory.']
72,[21],['Vocal Physiology and Elocution']
73,[21],['headaches']
74,[21],['1873']
75,[22],['Mabel Hubbard']
76,[23],['metal']
77,[23],['sound']
78,[23],['1874']
79,[24],['Western Union']
80,[24],['nervous system']
81,[24],['Elisha Gray']
82,[25],['Joseph Henry']
83,[25],['Thomas A. Watson']
84,[26],['Thomas Watson']
85,[26],['1']
86,[27],['U.S. profits']
87,[27],['Britain']
88,[28],"['February 14, 1876']"
89,[28],['February 26']
90,[28],['U.S. Patent Office']
91,[29],"['174,465']"
92,[29],"['March 7, 1876']"
93,[29],['apparatus']
94,[29],"['March 7, 1876']"
95,[29],['Gray']
96,[30],['liquid']
97,[30],['Mr. Watson']
98,[30],['electrical resistance']
99,[31],['March']
100,[31],['commercial use']
101,[32],['variable resistance']
102,[32],['mercury']
103,[33],['Zenas Fisk Wilber']
104,[33],['Civil War']
105,[33],['$100']
106,[33],['technical details']
107,[34],['Mount Pleasant']
108,[34],['fences']
109,[34],['reading and singing']
110,[35],"['$100,000']"
111,[35],['Western Union']
112,[35],['$25 million']
113,[36],['Philadelphia']
114,[36],['Emperor Pedro II']
115,[36],['Brazil']
116,[36],['Victoria']
117,[37],['1877']
118,[37],"['150,000']"
119,[37],['carbon microphone']
120,[38],['January 1915']
121,[38],['AT&T']
122,[38],['New York']
123,[38],['San Francisco']
124,[38],['Thomas Watson']
125,[39],['587']
126,[40],['misrepresentation']
127,[40],['9']
128,[40],"['November 30, 1897']"
129,[41],['American District Telegraph (ADT)']
130,[41],['death']
131,[42],['royalties']
132,[42],['1880']
133,[43],['Mabel Hubbard']
134,[43],['lectures']
135,[44],['1880']
136,[44],"['Cambridge, Massachusetts']"
137,[44],['patent disputes']
138,[45],['1882']
139,[45],['British']
140,[45],['hyphenated']
141,[46],['Breton Island']
142,[46],['40']
143,[47],"['December 6, 1917']"
144,[47],['Beinn Bhreagh']
145,[47],['mobilized the community']
146,[48],['18']
147,[49],['Volta']
148,[49],['tape recorder']
149,[50],['ice']
150,[50],['Methane gas']
151,[50],['solar']
152,[51],['Charles Sumner Tainter']
153,[51],['normal human conversations']
154,[52],"['June 21, 1880']"
155,[52],['700']
156,[52],['19']
157,[53],['The photophone']
158,[53],['fiber-optic communication']
159,[53],['1880']
160,[53],['1980s']
161,[54],['metal bed frame']
162,[54],['first']
163,[55],['Executive Mansion']
164,[55],['horse-hair']
165,[55],['footnote']
166,[56],['American']
167,[56],['hydrofoil boat']
168,[56],"['Frederick W. ""Casey"" Baldwin']"
169,[56],['Enrico Forlanini']
170,[57],['flying']
171,[57],['HD-4']
172,[58],['maroon']
173,[58],['1912']
174,[58],['3']
175,[59],['1907']
176,[59],['Glenn H. Curtiss']
177,[59],['army']
178,[60],['gliders']
179,[60],['biplane']
180,[60],['Selfridge']
181,[61],['a doctor']
182,[61],['February 23']
183,[62],['Second International Congress of Eugenics']
184,[62],['livestock breeding']
185,[63],['Alexander Graham Bell Family Papers']
186,[63],['Manuscript Division']
187,[63],['online']
188,[63],['Cape Breton University']
189,[63],['Nova Scotia']
190,[64],"['$250,000']"
191,[64],['Alexandre Dumas']
192,[64],['wax']
193,[64],['Volta Bureau']
194,[65],['Science']
195,[65],['1903']
196,[65],['Albert Medal']
197,[66],['honorary degrees']
198,[66],['Bell Telephone Memorial']
199,[66],['1917']
200,[66],['Brantford']
201,[67],['First']
202,[67],['commemorative stamp']
203,[67],['Famous Americans Series']
204,[67],['October 28']
205,[67],['Boston']
206,[68],['10']
207,[68],['National Library of Scotland']
208,[69],['diabetes']
209,[69],['August 2']
210,[69],['Mabel']
211,[69],['Nova Scotia']
212,[70],['Beinn Bhreagh pine']
213,[70],['red']
214,[70],['black']
215,[70],['Jean MacDonald']
216,[71],['Marian']
217,[71],['35']
218,[72],['sound intensity']
219,[72],['Bell Labs']
220,[73],['Internet service provider']
221,[73],"['commercial, community-owned, non-profit, or otherwise privately owned']"
222,[],[]
223,[],[]
224,[],[]
225,[74],['ISPs']
226,[],[]
227,[75],['a network between government research laboratories and participating departments of universities']
228,[75],['1980s']
229,[75],"['a process was set in place towards public, commercial use of the Internet']"
230,[75],['1995']
231,[75],['4 years']
232,[],[]
233,[],[]
234,[],[]
235,[],[]
236,[76],['Australia and the United States']
237,[76],['November 1989']
238,[76],['1989']
239,[],[]
240,[77],['a telecommunications service']
241,[77],['Title II (common carrier)']
242,[],[]
243,[],[]
244,[78],['February 2015']
245,[78],['in favor']
246,[78],['Title II (common carrier) of the Communications Act of 1934']
247,[78],['the First Amendment']
248,[],[]
249,[],[]
250,[79],['13 April 2015']
251,[80],['Internet access']
252,[80],['television cable (CATV)']
253,[80],['wireless Ethernet (wi-fi)']
254,[],[]
255,[],[]
256,[],[]
257,[],[]
258,[81],"['copper wires to provide dial-up, DSL, typically asymmetric digital subscriber line (ADSL), cable modem or Integrated Services Digital Network (ISDN) (typically basic rate interface)']"
259,[81],['Fiber To The Home']
260,[81],['users and small businesses']
261,[],[]
262,[],[]
263,[],[]
264,[82],['Asynchronous Transfer Mode']
265,[],[]
266,[],[]
267,[],[]
268,[83],['A mailbox provider']
269,[83],"['It provides email servers to send, receive, accept, and store email']"
270,[83],['A mailbox provider']
271,[],[]
272,[],[]
273,[84],['Internet Message Access Protocol']
274,[84],"['implementing Simple Mail Transfer Protocol (SMTP) and possibly providing access to messages through Internet Message Access Protocol (IMAP), the Post Office Protocol, Webmail, or a proprietary protocol.']"
275,[84],['access providers']
276,[84],"['companies, universities, organizations, groups, and individuals']"
277,[],[]
278,[],[]
279,[],[]
280,[],[]
281,[85],"['email, web-hosting, or online storage services']"
282,[85],['Internet hosting services']
283,[],[]
284,[86],['An upstream ISP usually has a larger network than the contracting ISP']
285,[86],['upstream ISPs']
286,[],[]
287,[],[]
288,[],[]
289,[87],['a tier 1 carrier']
290,[87],['Transit ISPs']
291,[],[]
292,[],[]
293,[88],['virtual ISP']
294,[88],['mobile virtual network operators']
295,[88],['a wholesale ISP']
296,[],[]
297,[],[]
298,[],[]
299,[89],['Internet service providers that provide service free of charge']
300,[89],['commercial television']
301,[],[]
302,[],[]
303,[],[]
304,[],[]
305,[90],['wireless Internet service provider']
306,[90],"['commonplace Wi-Fi wireless mesh networking, or proprietary equipment']"
307,[90],"['900 MHz, 2.4 GHz, 4.9, 5.2, 5.4, 5.7, and 5.8 GHz bands']"
308,[90],['wireless networking']
309,[],[]
310,[],[]
311,[91],['multiple ISPs interconnect at peering points or Internet exchange points']
312,[91],"['data that would otherwise have passed through a third upstream ISP, incurring charges from the upstream ISP']"
313,[91],['peering points or Internet exchange points']
314,[],[]
315,[],[]
316,[],[]
317,[92],['A tradeoff between cost and efficiency is possible']
318,[92],['the most efficient route']
319,[],[]
320,[],[]
321,[],[]
322,[],[]
323,[93],['intelligence agencies']
324,[93],['PRISM']
325,[93],['provides for broad monitoring of Internet users traffic']
326,[],[]
327,[],[]
328,[],[]
329,[],[]
