theme,question,id
Alexander_Graham_Bell,What year did Bell die?,0
Alexander_Graham_Bell,What was special about his telephone?,1
Alexander_Graham_Bell,What were his relatives known for working on?,2
Alexander_Graham_Bell,What was interesting about his mother and wife?,3
Alexander_Graham_Bell,What did Bell never put in his study?,4
Alexander_Graham_Bell,Bell was the second president of what magazine?,5
Alexander_Graham_Bell,"What field did Bell later work in, apart from optical telecommunications and aeronautics?",6
Alexander_Graham_Bell,What year did Bell become President of the National Geographic magazine?,7
Alexander_Graham_Bell,What material marks Bells family  home as his birthplace?,8
Alexander_Graham_Bell,At what age did Bell ask for a middle name?,9
Alexander_Graham_Bell,What did those close to him call Bell?,10
Alexander_Graham_Bell,What sort of things did Bell collect as a child?,11
Alexander_Graham_Bell,What sort of mill did Bell's neighbors run?,12
Alexander_Graham_Bell,Bell's dehusking machine combined what with nail brushes?,13
Alexander_Graham_Bell,What was Bell's reward for his dehusking machine?,14
Alexander_Graham_Bell,"Bell was gifted at art, poetry, and what?",15
Alexander_Graham_Bell,What did Bell succeed at without being taught?,16
Alexander_Graham_Bell,How old was Bell when his mom started to go deaf?,17
Alexander_Graham_Bell,What part of his mom's head would Bell talk into?,18
Alexander_Graham_Bell,What did Bell research because of his mom's deafness?,19
Alexander_Graham_Bell,Where did Bell's uncle live?,20
Alexander_Graham_Bell,What was Bell's father most famous for publishing?,21
Alexander_Graham_Bell,Bell learned to accurately read lips even without knowing what?,22
Alexander_Graham_Bell,Who taught Bell when he was very young?,23
Alexander_Graham_Bell,In what year did Bell's father take him to see an automaton?,24
Alexander_Graham_Bell,What did the automaton mimic?,25
Alexander_Graham_Bell,Bell built his own automaton with who?,26
Alexander_Graham_Bell,What part of the automaton did Bell create?,27
Alexander_Graham_Bell,What living thing did Bell use in his research?,28
Alexander_Graham_Bell,What was Bell's pet's name?,29
Alexander_Graham_Bell,What phrase did people believe Bell's dog could say?,30
Alexander_Graham_Bell,What did Bell  instruct his dog to do?,31
Alexander_Graham_Bell,Who did Bell get to read his work?,32
Alexander_Graham_Bell,What country was doing work similar to Bell's?,33
Alexander_Graham_Bell,Who wrote The Sensations of Tone as a Physiological Basis for the Theory of Music?,34
Alexander_Graham_Bell,How old was Bell when he wrote his paper?,35
Alexander_Graham_Bell,By what means did Bell conclude vowel sounds could be made?,36
Alexander_Graham_Bell,What else besides vowels did Bell decide could be created?,37
Alexander_Graham_Bell,What language was Bell happy he couldn't read?,38
Alexander_Graham_Bell,What did Bell think he didn't know well enough?,39
Alexander_Graham_Bell,In what year did the Bell's move to London?,40
Alexander_Graham_Bell,Where did Bell go in work in 1865?,41
Alexander_Graham_Bell,What building was Bell in?,42
Alexander_Graham_Bell,How did Bell sign his letters?,43
