theme,start,end
Beyoncé,1,523
Frédéric_Chopin,524,1010
Sino-Tibetan_relations_during_the_Ming_dynasty,1011,1203
The_Legend_of_Zelda:_Twilight_Princess,1204,1451
Spectre_(2015_film),1452,1771
New_York_City,1772,2334
To_Kill_a_Mockingbird,2335,2500
Solar_energy,2501,2676
Kanye_West,2677,2956
Buddhism,2957,3378
American_Idol,3379,3903
Dog,3904,4178
2008_Summer_Olympics_torch_relay,4179,4533
Genome,4534,4678
Comprehensive_school,4679,4824
Republic_of_the_Congo,4825,5051
Prime_minister,5052,5192
Institute_of_technology,5193,5291
Dutch_Republic,5292,5430
Symbiosis,5431,5554
Iranian_languages,5555,5654
Lighting,5655,5752
Separation_of_powers_under_the_United_States_Constitution,5753,5913
Architecture,5914,6152
Southern_Europe,6153,6300
BBC_Television,6301,6454
Arnold_Schwarzenegger,6455,6619
Plymouth,6620,6864
Christian,6865,7020
Sony_Music_Entertainment,7021,7200
Oklahoma_City,7201,7316
Hunter-gatherer,7317,7532
United_Nations_Population_Fund,7533,7667
Russian_Soviet_Federative_Socialist_Republic,7668,7909
Alexander_Graham_Bell,7910,8129
Internet_service_provider,8130,8239
Comics,8240,8460
Saint_Helena,8461,8680
Aspirated_consonant,8681,8862
Hydrogen,8863,8986
Space_Race,8987,9092
BeiDou_Navigation_Satellite_System,9093,9315
Canon_law,9316,9449
Communications_in_Somalia,9450,9605
Boston,9606,9845
Universal_Studios,9846,10098
Estonian_language,10099,10298
Daylight_saving_time,10299,10478
Royal_Institute_of_British_Architects,10479,10636
National_Archives_and_Records_Administration,10637,10816
Tristan_da_Cunha,10817,10943
University_of_Kansas,10944,11185
Arena_Football_League,11186,11366
Bern,11367,11483
Westminster_Abbey,11484,11764
Political_corruption,11765,11892
Classical_music,11893,12108
Slavs,12109,12386
Treaty,12387,12580
Josip_Broz_Tito,12581,12801
Marshall_Islands,12802,12993
Szlachta,12994,13185
Virgil,13186,13335
Alps,13336,13589
Gene,13590,13779
Guinea-Bissau,13780,13940
List_of_numbered_streets_in_Manhattan,13941,14085
Brain,14086,14229
Near_East,14230,14399
Zhejiang,14400,14650
Ministry_of_Defence_(United_Kingdom),14651,14807
High-definition_television,14808,15084
Wood,15085,15314
Somalis,15315,15537
Middle_Ages,15538,15871
Phonology,15872,16022
Computer,16023,16178
Black_people,16179,16377
New_Delhi,16378,16554
Bird_migration,16555,16740
"Atlantic_City,_New_Jersey",16741,16891
MP3,16892,17073
House_music,17074,17370
Letter_case,17371,17412
Chihuahua_(state),17413,17603
Pitch_(music),17604,17625
England_national_football_team,17626,17712
Houston,17713,18090
Copper,18091,18312
Identity_(social_science),18313,18429
Himachal_Pradesh,18430,18591
Communication,18592,18681
Computer_security,18682,18924
Orthodox_Judaism,18925,19095
Animal,19096,19148
Beer,19149,19397
Race_and_ethnicity_in_the_United_States_Census,19398,19435
Imperial_College_London,19436,19609
Hanover,19610,19753
Emotion,19754,20017
Old_English,20018,20155
Aircraft_carrier,20156,20403
Federal_Aviation_Administration,20404,20471
Lancashire,20472,20607
Mesozoic,20608,20722
Videoconferencing,20723,20871
Gregorian_calendar,20872,21015
Xbox_360,21016,21203
Military_history_of_the_United_States,21204,21496
Infrared,21497,21622
ASCII,21623,21787
Digestion,21788,21843
Gymnastics,21844,21988
FC_Barcelona,21989,22162
Melbourne,22163,22391
"John,_King_of_England",22392,22571
Macintosh,22572,22903
Valencia,22904,23077
General_Electric,23078,23185
United_States_Army,23186,23399
Franco-Prussian_War,23400,23593
Adolescence,23594,23808
Antarctica,23809,24177
Eritrea,24178,24443
Uranium,24444,24712
Circadian_rhythm,24713,24859
Sexual_orientation,24860,25060
Dell,25061,25349
Nintendo_Entertainment_System,25350,25629
Seattle,25630,25817
Memory,25818,26013
Multiracial_American,26014,26354
Ashkenazi_Jews,26355,26485
Pharmaceutical_industry,26486,26887
Umayyad_Caliphate,26888,27115
Asphalt,27116,27383
Queen_Victoria,27384,27984
Israel,27985,28185
Hellenistic_period,28186,28514
Bill_%26_Melinda_Gates_Foundation,28515,28641
Dutch_language,28642,28803
Buckingham_Palace,28804,29055
Incandescent_light_bulb,29056,29343
Arsenal_F.C.,29344,29581
Chicago_Cubs,29582,29723
Korean_War,29724,29962
Copyright_infringement,29963,30219
Greece,30220,30517
Royal_Dutch_Shell,30518,30684
Mammal,30685,30825
East_India_Company,30826,31035
Hokkien,31036,31204
Professional_wrestling,31205,31370
Film_speed,31371,31566
Mexico_City,31567,31845
Napoleon,31846,32160
Germans,32161,32380
Southeast_Asia,32381,32529
Brigham_Young_University,32530,32807
Intellectual_property,32808,32931
Florida,32932,33149
Queen_(band),33150,33341
Presbyterianism,33342,33560
Thuringia,33561,33731
Predation,33732,33945
British_Empire,33946,34157
Botany,34158,34327
Madonna_(entertainer),34328,34571
Law_of_the_United_States,34572,34804
Myanmar,34805,35042
Jews,35043,35268
Cotton,35269,35461
Data_compression,35462,35607
The_Sun_(United_Kingdom),35608,35774
Pesticide,35775,35937
Somerset,35938,36167
Yale_University,36168,36480
Late_Middle_Ages,36481,36751
"Ann_Arbor,_Michigan",36752,36948
Gothic_architecture,36949,37209
Cubism,37210,37410
Political_philosophy,37411,37596
Norfolk_Island,37597,37799
Edmund_Burke,37800,38058
Samoa,38059,38233
Pope_Paul_VI,38234,38430
Switzerland,38431,38673
Mali,38674,38824
"Raleigh,_North_Carolina",38825,39057
Crimean_War,39058,39273
Nonprofit_organization,39274,39444
Literature,39445,39708
Avicenna,39709,40027
Nigeria,40028,40207
Molotov%E2%80%93Ribbentrop_Pact,40208,40467
History_of_science,40468,40669
Digimon,40670,40813
Glacier,40814,40958
Affirmative_action_in_the_United_States,40959,41264
FA_Cup,41265,41494
"New_Haven,_Connecticut",41495,41909
Alsace,41910,42070
Carnival,42071,42262
Baptists,42263,42407
Child_labour,42408,42570
Dissolution_of_the_Soviet_Union,42571,42791
Crucifixion_of_Jesus,42792,43012
Supreme_court,43013,43147
Textual_criticism,43148,43352
Gramophone_record,43353,43637
Turner_Classic_Movies,43638,43794
Hindu_philosophy,43795,43954
A_cappella,43955,44152
Dominican_Order,44153,44429
Eton_College,44430,44678
Cork_(city),44679,44961
Galicia_(Spain),44962,45074
USB,45075,45247
Sichuan,45248,45483
Unicode,45484,45681
Detroit,45682,45905
London,45906,46160
Culture,46161,46300
Sahara,46301,46489
Rule_of_law,46490,46638
Exhibition_game,46639,46791
Northwestern_University,46792,47085
Strasbourg,47086,47302
History_of_India,47303,47574
Gamal_Abdel_Nasser,47575,47870
Pope_John_XXIII,47871,48038
Time,48039,48318
"St._John%27s,_Newfoundland_and_Labrador",48319,48476
John_von_Neumann,48477,48637
PlayStation_3,48638,48979
Royal_assent,48980,49202
Central_African_Republic,49203,49370
Asthma,49371,49530
LaserDisc,49531,49651
George_VI,49652,49787
Federalism,49788,50024
Annelid,50025,50264
War_on_Terror,50265,50516
Labour_Party_(UK),50517,50706
Estonia,50707,50911
